version_date,title,brief,keyword,url
2023-01-25 15:32:05,乡村文化空间，美起来实起来,在江苏省常州市新北区任葛村，有一座人气很高、名称雅致的图书馆——“秋白书苑”花开西庄馆。,文化 公共 空间,https://news.cctv.com/2023/01/25/ARTI9Acv6nCzLgWUQK7vOaI1230125.shtml
2023-01-25 15:26:43,“年味”十足！来香港故宫文化博物馆沾喜气,新年沾喜气，来香港故宫文化博物馆感受年味儿啦！,年味十足 香港 博物馆,https://news.cctv.com/2023/01/25/ARTIhWCXYmr1FYtGurUlJFDX230125.shtml
2023-01-25 15:20:45,海鲜供应价稳量足——大连辽渔国际水产品市场采访记,大连人近海更亲海，餐桌上一年四季都离不开海鲜，作为大连人饮食结构中必不可少的一环，春节期间海鲜供应情况如何？,海鲜 大连 市场,https://news.cctv.com/2023/01/25/ARTIt1594zaPajTkVdf584tO230125.shtml
2023-01-25 15:16:10,年货供销加速消费回暖,各式各样的新鲜蔬菜、包装精致的水果礼盒、活蹦乱跳的鲜鱼活虾、码成小山似的米面粮油……在苏果超市，记者看到各类商品琳琅满目，搭配红红的“兔元素”，到处都是购销两旺的景象。,南京 苏果 年货,https://news.cctv.com/2023/01/25/ARTI1Zzu8T286NNRZWizw1F5230125.shtml
2023-01-25 15:14:58,东北“冻货”闹大集,在东北，冬天吃“冻货”是一种习俗。尤其是到了温度足够低时，各种冻货就直接摆在室外售卖，形成东北特有的景象，各种年货大集上的“冻货”备受青睐。,年货 大集 东北,https://news.cctv.com/2023/01/25/ARTIlyXD8qJja1SxAavetmgd230125.shtml
2023-01-25 15:13:51,新华全媒+｜下沉资源 用心守护——春节基层疫情防控见闻,兔年春节是我国疫情防控进入新阶段的首个长假。记者在多地基层采访了解到，各地统筹城乡医疗资源调度、织密基层“防护网”，广大医护工作者和防疫人员坚守一线，为群众平安健康过年倾情奉献。,防疫 春节 卫生院,https://news.cctv.com/2023/01/25/ARTIO0i8lTPx8Tv182bIcisO230125.shtml
2023-01-25 15:05:37,寒潮来袭 青岛海边围栏挂冰凌,2023年1月24日，青岛，受寒潮天气影响，冰凌悬挂在海边围栏上。,寒潮 青岛 海边 围栏 冰凌,https://photo.cctv.com/2023/01/25/PHOAIrdHaDAlOW1E3MZnzOOE230125.shtml
2023-01-25 14:56:23,铁血艇长的新春约定,海军潜艇某艇艇长艾迎春，作为最年轻的“80后”艇长之一，战训场上号令如山、雷厉风行，被战友们称为“铁血艇长”。不久前，艾迎春所在的艇队进行了春节前的最后一次出航任务。,新春走基层 铁血艇长 新春约定,https://news.cctv.com/2023/01/25/ARTIfmZ5BpcIGIlua79DWqRs230125.shtml
2023-01-25 14:55:20,春节假期各地消防增加巡逻力量 守护平安,春节假期，前往景区景点、庙会灯会等地的人流增多，消防安全压力也随之增大，在全国的各大旅游景点，值班备勤的消防员24小时在岗，增加勤务巡逻力量，确保消防安全。,春节假期 消防巡逻 消防安全,https://news.cctv.com/2023/01/25/ARTIjCtVBeXfEm9FGtwMLMaZ230125.shtml
2023-01-25 14:51:00,陕西响起“喜庆金曲”,“拜新年，拜个幸福年”“我恭喜你发财，我恭喜你精彩”……走进陕西西咸新区沣东新城万象城华润万家超市，耳边滚动响起这些春节喜庆金曲。,陈建涛 消费 新城,https://news.cctv.com/2023/01/25/ARTITZ0gppara9BndpdUCjfy230125.shtml
